Period,Group,Valence Electrons, Adsorption Energy, Surface
1,1,4.626065009,-2.688223361,Cu6Sc6
1,2,5.604078661,-2.509730016,Cu6Ti6
1,3,6.502957234,-1.872181986,Cu6V6
1,4,7.343420462,-1.646489136,Cr6Cu6
1,5,8.138223044,0.175920508,Cu6Mn6
1,6,8.895920362,-0.446155809,Cu6Fe6
1,7,9.62260299,-0.097794856,Co6Cu6
1,8,10.32280115,0.235364593,Cu6Ni6
1,9,11,0.815140814,Cu12
1,10,11.65695337,0.640969725,Cu6Zn6
2,1,3,-2.582540468,Cu6Y6
2,2,4,-2.895954793,Cu6Zr6
2,3,11,-1.843869766,Cu6Nb6
2,4,7.343420462,-1.416902336,Cu6Mo6
2,5,8.138223044,-0.716398865,Cu6Tc6
2,6,8.895920362,-0.099503323,Cu6Ru6
2,7,9.62260299,0.383054515,Cu6Rh6
2,8,11,1.133460807,Cu6Pd6
2,9,11,0.844416181,Ag6Cu6
2,10,11,0.515538987,Cd6Cu6
3,1,3,-2.527907356,Cu6La6
3,2,4,-3.187125988,Cu6Hf6
3,3,11,-2.2387796,Cu6Ta6
3,4,6,-1.632360849,Cu6W6
3,5,8.138223044,-1.007275089,Cu6Re6
3,6,8.895920362,-0.22997048,Cu6Os6
3,7,9.62260299,0.297193347,Cu6Ir6
3,8,10.65602237,1.170693735,Cu6Pt6
3,9,11,1.365880039,Au6Cu6
3,10,11.65695337,1.483095796,Cu6Hg6
