Psi, d-Band_Center, Surface
12.307692307692307,-0.21890791,Cu6Hf6
12.030075187969924,-0.192294185,Cu6Zr6
14.076012932203518,-1.473339074,Cu6Sc6
7.377049180327869,-0.06516857,Cu6Y6
8.181818181818182,-0.623214245,Cu6La6
19.014143373974324,-1.29553727,Cu6Ti6
63.684210526315795,-2.973329331,Cu6Ta6
24.651623486497844,-1.293041251,Cu6V6
63.684210526315795,-2.878297673,Cu6Nb6
31.055619590343433,-1.250464537,Cr6Cu6
15.254237288135593,-0.809166222,Cu6W6
26.056120631070357,-1.415222421,Cu6Mo6
34.85824964229777,-1.604713031,Cu6Re6
34.85824964229777,-1.49275336,Cu6Tc6
42.70674900830959,-1.797225467,Cu6Fe6
36.81818181818181,-1.819815356,Cu6Ir6
55.88840021707842,-1.505721902,Cu6Ni6
29.09090909090909,-1.650716592,Cu6Os6
49.07896205989386,-1.814154322,Co6Cu6
43.15628353253199,-1.685279462,Cu6Rh6
43.85964912280702,-1.988757406,Cu6Pt6
29.09090909090909,-1.409939233,Cu6Ru6
50.86223840955542,-1.653760664,Cu6Pd6
63.684210526315795,-2.42418392,Cu12
63.352515915538945,-2.849785349,Ag6Cu6
63.684210526315795,-2.283883713,Cu6Hg6
70.7371180917748,-4.18021606,Cu6Zn6
57.81027884011307,-2.599119575,Au6Cu6
63.684210526315795,-2.481359542,Cd6Cu6
39.92578934475007,-1.681997733,Cu6Mn6
